No.,Title [8],Original release date,English air date
20,"""The Shifting Sands"" (Monster of the Squirming Sands)Transliteration: ""Ugomeku Suna no Kaibutsu"" (Japanese: うごめく砂の怪物)","May 19, 2007 (2007-05-19)","November 5, 2010"
21,"""The Heavenly Stone"" (The Spiritual Stone, Lapis Lazuli)Transliteration: ""Kami no Ishi Rapisu Razuri"" (Japanese: 神の石ラピスラズリ)","May 26, 2007 (2007-05-26)","November 8, 2010"
22,"""Thaegan's Return"" (Sorceress Thaegan's Revival)Transliteration: ""Majo Tēgan no Fukkatsu"" (Japanese: 魔女テーガンの復活)","June 2, 2007 (2007-06-02)","November 9, 2010"
23,"""Thaegan's Trap"" (Fearful Thaegan's Trap)Transliteration: ""Kyōfu Tēgan no Wana"" (Japanese: 恐怖テーガンのわな)","June 9, 2007 (2007-06-09)","November 10, 2010"
24,"""Meeting Prin"" (Meeting Prin)Transliteration: ""Purin tono Deai"" (Japanese: プリンとの出会い)","June 16, 2007 (2007-06-16)","November 11, 2010"
25,"""Kin to the Air"" (Fly, Kin! To the Air)Transliteration: ""Kin yo Tobe! Ōzora e"" (Japanese: キンよ飛べ! 大空へ)","June 23, 2007 (2007-06-23)","November 12, 2010"
26,"""Vraal Attack"" (Assault! The Monster Vraal)Transliteration: ""Kyūshū! Kaibutsu Burāru"" (Japanese: 急襲! 怪物ブラール)","June 30, 2007 (2007-06-30)","November 15, 2010"
27,"""Trapped under Dread Mountain"" (The One Lurking in Dread Mountain)Transliteration: ""Kyōfu no Yama ni Hisomu Mono"" (Japanese: 恐怖の山にひそむ者)","July 7, 2007 (2007-07-07)","November 16, 2010"
28,"""The Great Gellick"" (Defeat the Great Gellick!)Transliteration: ""Kyodai Gerikku wo Taose"" (Japanese: 巨大ゲリックを倒せ)","July 14, 2007 (2007-07-14)","November 17, 2010"
29,"""End of the Carn Squad"" (Strike the Carn Squad!)Transliteration: ""Kān Butai wo Tatake!"" (Japanese: カーン部隊を叩け!)","July 21, 2007 (2007-07-21)","November 18, 2010"
30,"""The Mysterious Ols"" (The New Monsters, Ols)Transliteration: ""Aratanaru Kaibutsu Oru"" (Japanese: 新たなる怪物オル)","July 28, 2007 (2007-07-28)","November 19, 2010"
31,"""Goodbye, Jasmine"" (Goodbye, Jasmine)Transliteration: ""Sayonara, Jasumin"" (Japanese: さよならジャスミン)","August 4, 2007 (2007-08-04)","November 22, 2010"
32,"""The River Queen"" (The River Queen)Transliteration: ""Ribā Kuīn-Gō"" (Japanese: リバークイーン号)","August 11, 2007 (2007-08-11)","November 23, 2010"
33,"""Pirate Attack"" (Lief in a Close Call)Transliteration: ""Rīfu, Kikiippatsu"" (Japanese: リーフ、危機一髪)","August 18, 2007 (2007-08-18)","November 24, 2010"
34,"""The Pirates' Feast"" (The Pirates' Feast)Transliteration: ""Tōzoku-tachi no Utage"" (Japanese: 盗賊たちのうたげ)","August 25, 2007 (2007-08-25)","November 29, 2010"
35,"""Maze of the Beast"" (The Cave of Monster Glue)Transliteration: ""Kaibutsu Gurū no Doukutsu"" (Japanese: 怪物グルーの洞くつ)","September 1, 2007 (2007-09-01)","November 30, 2010"
36,"""Sorceress Thaegan is Back!"" (Sorceress Theagan's Counterattack)Transliteration: ""Majo Tēgan no Gyakushū"" (Japanese: 魔女テーガンの逆襲)","September 8, 2007 (2007-09-08)","December 1, 2010"
37,"""Mirror of Fear"" (Thaegan and Her Children)Transliteration: ""Tēgan to Kodomo-tachi"" (Japanese: テーガンと子ども達)","September 15, 2007 (2007-09-15)","December 2, 2010"
38,"""Sorcerer Oacus"" (Sorcerer Oacus Appears)Transliteration: ""Madoushi Ōkasu Arawaru"" (Japanese: 魔導士オーカス現る)","September 22, 2007 (2007-09-22)","December 6, 2010"
39,"""The Vow of the Torans"" (The Vow of the Torans)Transliteration: ""Tōra-zoku no Chikai"" (Japanese: トーラ族の誓い)","September 29, 2007 (2007-09-29)","December 7, 2010"
40,"""The Valley of the Lost"" (Guardian of the Forbidden Valley)Transliteration: ""Imashime no Tani no Bannin"" (Japanese: いましめの谷の番人)","October 6, 2007 (2007-10-06)","December 8, 2010"
41,"""The Last Gem"" (Last One, the Diamond)Transliteration: ""Saigo no Daiyamondo"" (Japanese: 最後のダイヤモンド)","October 13, 2007 (2007-10-13)","December 9, 2010"
42,"""The Seven Gems United"" (When the Seven Gems Meet)Transliteration: ""Nanatsu no Hōseki ga Tsudou Toki"" (Japanese: 七つの宝石が集う時)","October 20, 2007 (2007-10-20)","December 13, 2010"
43,"""Nevets Goes Wild"" (Nevets' Great Rampage)Transliteration: ""Sukāru Daibōsō"" (Japanese: スカール大暴走!)","October 27, 2007 (2007-10-27)","December 14, 2010"
44,"""Battle at Withick Mire"" (Attack and Defence of Vetaxa Village)Transliteration: ""Betakusa Mura no Kōbō"" (Japanese: ベタクサ村の攻防)","November 3, 2007 (2007-11-03)","December 15, 2010"
45,"""The Oath"" (Lief and the Oath Ceremony)Transliteration: ""Rīfu, Chikai no Gishiki"" (Japanese: リーフ、誓いの儀式)","November 10, 2007 (2007-11-10)","December 16, 2010"
46,"""The Last Battle of Fire"" (The Last of Old Enemy Oacus)Transliteration: ""Shukuteki Ōkasu no Saigo"" (Japanese: 宿敵オーカスの最後)","November 17, 2007 (2007-11-17)","December 20, 2010"
47,"""The Seven Tribes"" (Charge! The Seven Tribes)Transliteration: ""Shingekise yo! Shichi Buzoku"" (Japanese: 進撃せよ! 七部族)","November 24, 2007 (2007-11-24)","December 21, 2010"
48,"""Who is Dain?"" (The True Colours of Good Friend Dain)Transliteration: ""Shin'yuu Dein no Shōtai"" (Japanese: 親友デインの正体)","December 1, 2007 (2007-12-01)","December 22, 2010"
49,"""A Desperate Rescue"" (Do-or-Die Rescue Mission)Transliteration: ""Kesshi no Kyūshutsu Sakusen"" (Japanese: 決死の救出作戦)","December 8, 2007 (2007-12-08)","December 23, 2010"
50,"""Who's the Next King?"" (Who is the True Heir?)Transliteration: ""Shinjitsu no Yotsugi wa Dare?"" (Japanese: 真実の世継ぎは誰?)","December 15, 2007 (2007-12-15)","December 27, 2010"
51,"""Battle of the Ak-Babas"" (Decisive Battle, the Ak-Baba Army)Transliteration: ""Kessen Akubaba Gundan"" (Japanese: 決戦アクババ軍団)","December 22, 2007 (2007-12-22)","December 28, 2010"
52,"""When the Seven Gems Shine"" (When the Seven Gems Shine)Transliteration: ""Nanatsu no Hōseki no Kagayaku Toki"" (Japanese: 七つの宝石の輝く時)","December 29, 2007 (2007-12-29)","December 29, 2010"
53,"""On an Adventurous Journey Again"" (On an Adventurous Journey Again)Transliteration: ""Futatabi Bouken no Tabi e"" (Japanese: ふたたび冒険の旅へ)","January 5, 2008 (2008-01-05)",TBA
54,"""Jasmine Returns to the Forest"" (Jasmine Returns to the Forest)Transliteration: ""Jasumin Mori e Kaeru"" (Japanese: ジャスミン森へ帰る)","January 12, 2008 (2008-01-12)",TBA
55,"""Trap of the Underground Labyrinth"" (Trap of the Underground Labyrinth)Transliteration: ""Chika Meikyū no Wana"" (Japanese: 地下迷宮のワナ)","January 19, 2008 (2008-01-19)",TBA
56,"""Filli in a Big Pinch?"" (Filli in a Big Pinch?)Transliteration: ""Firi no Dai Pinchi?"" (Japanese: フィリの大ピンチ?)","January 26, 2008 (2008-01-26)",TBA
57,"""The Solitary Guards"" (The Solitary Guards)Transliteration: ""Hitoribocchi no Kenpeidan"" (Japanese: 独りぼっちの憲兵団)","February 2, 2008 (2008-02-02)",TBA
58,"""House-sitting at Tom's Shop"" (House-sitting at Tom's Shop)Transliteration: ""Tomu no Mise de o-Rusuban"" (Japanese: トムの店でお留守番)","February 9, 2008 (2008-02-09)",TBA
59,"""Prin's First Love"" (Prin's First Love)Transliteration: ""Purin Hajimete no Koi"" (Japanese: プリンはじめての恋)","February 16, 2008 (2008-02-16)",TBA
60,"""The Pirates of the River Tor"" (The Pirates of the River Tor)Transliteration: ""Torugawa no Tōzokutachi"" (Japanese: トル川の盗賊たち)","February 23, 2008 (2008-02-23)",TBA
61,"""The Stolen Belt"" (The Stolen Belt)Transliteration: ""Ubawareta Beruto"" (Japanese: 奪われたベルト)","March 1, 2008 (2008-03-01)",TBA
62,"""The Promise that Lief Kept"" (The Promise that Lief Kept)Transliteration: ""Rīfu no Mamotta Yakusoku"" (Japanese: リーフの守った約束)","March 8, 2008 (2008-03-08)",TBA
63,"""Neridah and Jasmine"" (Neridah and Jasmine)Transliteration: ""Nerida to Jasumin"" (Japanese: ネリダとジャスミン)","March 15, 2008 (2008-03-15)",TBA
64,"""The House Where Ols Lurk"" (The House Where Ols Lurk)Transliteration: ""Oru no Hisomu Yakata"" (Japanese: オルのひそむ館)","March 22, 2008 (2008-03-22)",TBA
65,"""Deltora Forever"" (Deltora Forever)Transliteration: ""Derutora yo Eien ni"" (Japanese: デルトラよ永遠に)","March 29, 2008 (2008-03-29)",TBA
