Comparison of programming languages
General comparison Assignment Basic syntax Basic instructions Comments Control flow Foreach loops While loops For loops Do-while Exception handling Enumerated types Algebraic data types Generators Anonymous functions Conditional expressions Arrays Associative arrays Scope String operations String functions Higher-order functions Filter Fold Map Type systems Dependent types List comprehension Object-oriented programming Object-oriented constructors Operators Ternary conditional operator Null coalescing operators Safe navigation operators Modulo operators
"Evaluation strategy List of ""Hello World"" programs"
Comparison of individual languages ALGOL 58's influence on ALGOL 60 ALGOL 60: Comparisons with other languages ALGOL 68: Comparisons with other languages Compatibility of C and C++ Comparison of Pascal and Borland Delphi Comparison of Object Pascal and C Comparison of Pascal and C Comparison of Java and C++ Comparison of C# and Java Comparison of C# and Visual Basic .NET Comparison of Visual Basic and Visual Basic .NET
".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}html.skin-theme-clientpref-night .mw-parser-output .navbar li a abbr{color:var(--color-base)!important}@media(prefers-color-scheme:dark){html.skin-theme-clientpref-os .mw-parser-output .navbar li a abbr{color:var(--color-base)!important}}@media print{.mw-parser-output .navbar{display:none!important}} v t e"
"
"
Language,Original purpose,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Other paradigms,Standardized
1C:Enterprise programming language,"Application , RAD , business, general , web , mobile",Yes,No,Yes,Yes,Yes,Yes,"Object-based , Prototype-based programming",No
Nim,"Application, general, web, scripting, system",Yes,Yes,Yes,Yes,Yes,Yes,"Multiple dispatch, concurrent, meta",No
Oberon,"Application, system",Yes,Yes,No,No,No,No,,No
Object Pascal,"Application, general, mobile app, web",Yes,Yes,No,Yes,Yes,Yes,Structured,No
Objective-C,"Application, general",Yes,Yes,No,Yes,No,Yes,Concurrent,No
OCaml,"Application, general",Yes,Yes,Yes,Yes,Yes,No,,No
Occam,General,Yes,No,No,Yes,No,No,"Concurrent, process-oriented",No
Opa,Web applications,Yes,No,Yes,No,Yes,No,Distributed,No
OpenLisp,"General, Embedded Lisp Engine",Yes,Yes,Yes,No,Yes,No,,Optionally ISLISP
Oxygene,Application,Yes,Yes,No,No,Yes,No,,No
Oz-Mozart,"Application, distribution, education",Yes,Yes,Yes,No,No,No,"Concurrent, logic",No
Pascal,"Application, education",Yes,No,No,Yes,No,No,,"Yes 1983, ISO &#91; 42 &#93;"
Perl,"Application, scripting, text processing, Web",Yes,Yes,Yes,Yes,Yes,Yes,,No
PHP,"Server-side, web application, web",Yes,Yes &#91; 43 &#93;,Yes &#91; 44 &#93;,Yes,No,Yes,,De facto standard via language specification and Requests for Comments (RFCs)
PL/I,Application,Yes,Yes,No,Yes,No,No,,"Yes 1969, ECMA-50 (1976)"
Plus,"Application, system development",Yes,No,No,Yes,No,No,,No
PostScript,"Graphics, page description",Yes,No,No,Yes,No,No,"Concatenative , stack-oriented",De facto standard via the PostScript Reference Manual &#91; 45 &#93;
PowerShell,"Administration, application, general, scripting",Yes,Yes,Yes,Yes,No,Yes,Pipeline,No
Prolog,"Application, artificial intelligence",No,No,Yes,Yes,No,Yes,"Logic, declarative","Yes 1995, ISO/IEC 13211-1:1995, TC1 2007, TC2 2012, TC3 2017"
PureBasic,Application,Yes,No,No,Yes,No,No,,No
Python,"Application, general, web, scripting, artificial intelligence, scientific computing",Yes,Yes,Yes,Yes,Yes,Yes,Aspect-oriented,De facto standard via Python Enhancement Proposals (PEPs)
R,"Application, statistics",Yes,Yes,Yes,Yes,No,Yes,,No
Racket,"Education, general, scripting",Yes,Yes,Yes,Yes,No,Yes,"Modular , logic, meta",No
Raku,"Scripting, text processing, glue",Yes,Yes,Yes,Yes,Yes,Yes,"Aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming",No
REALbasic,Application,No,No,No,Yes,No,No,,Unknown
Rebol,Distributed,Yes,Yes,Yes,Yes,No,Yes,Dialected,No
REXX,Scripting,Yes,Yes ( NetRexx and Object REXX dialects),No,Yes,No,No,,Yes 1996 (ANSI X3.274-1996)
RPG,"Application, system",Yes,No,No,Yes,No,No,,No
Ring,Application,Yes,Yes,Yes,Yes,Yes,Yes,"metaprogramming, declarative, natural-language",No
Ruby,"Application, scripting, web",Yes,Yes,Yes,No,No,Yes,Aspect-oriented,"Yes 2011(JIS X 3017), 2012(ISO/IEC 30170)"
Rust,"Application, server-side, system, web",Yes,Can be viewed as &#91; 46 &#93;,Yes,Yes,Yes,No &#91; 47 &#93;,Concurrent,De facto standard by the official Rust releases
S,"Application, statistics",Yes,Yes,Yes,Yes,No,No,,No
S-Lang,"Application, numerical, scripting",Yes,No,No,Yes,No,No,,No
Scala,"Application, general, parallel, distributed, web",Yes,Yes,Yes,No,Yes,Yes,"Data-oriented programming, metaprogramming",De facto standard via Scala Language Specification (SLS)
Scheme,"Education, general",Yes,No,Yes,No,No,No,"meta, extensible-syntax","De facto 1975-2013, R 0 RS, R 1 RS, R 2 RS, R 3 RS, R 4 RS, R 5 RS, R 6 RS, R 7 RS Small Edition &#91; 48 &#93; &#91; 49 &#93;"
Seed7,"Application, general, scripting, web",Yes,Yes,No,No,Yes,Yes,"Multi-paradigm, extensible, structured",No
Simula,"Education, general",Yes,Yes,No,No,No,No,"discrete event simulation , multi-threaded (quasi-parallel) program execution",Yes 1968
Small Basic,"Application, education, games",Yes,No,No,No,No,No,Component-oriented,No
Smalltalk,"Application, general, business, artificial intelligence, education, web",Yes,Yes,Yes,Yes,No,Yes,"Concurrent, declarative","Yes 1998, ANSI"
SNOBOL,Text processing,No,No,No,No,No,No,,Unknown
Standard ML,Application,Yes,No,Yes,No,Yes,No,,"Yes 1997, SML '97 &#91; 50 &#93;"
Swift,"Application, general",Yes,Yes,Yes,Yes,Yes,Yes,"Concurrent, declarative, protocol-oriented",No
Tcl,"Application, scripting, web",Yes,Yes,Yes,Yes,No,Yes,,No
V (Vlang),"Application, general, system, game, web, server-side",Yes,Can be viewed as,Can be viewed as,Yes,Yes,Yes,Concurrent,No
Visual Basic,"Application, RAD, education, business, general, (Includes VBA), office automation",Yes,Yes,No,Yes,Yes,No,Component-oriented,No
Visual Basic .NET,"Application, RAD, education, web, business, general",Yes,Yes,Yes,Yes,Yes,Yes,"Structured, concurrent",No
Visual FoxPro,Application,Yes,Yes,No,Yes,No,No,"Data-centric, logic",No
Visual Prolog,Application,Yes,Yes,Yes,No,No,No,"Declarative, logic",No
Wolfram Language,Symbolic language,Yes,No,Yes,Yes,Yes,Yes,"Logic, distributed",No
XL,,Yes,Yes,No,No,No,No,concept programming,No
Xojo,"Application, RAD, general, web",Yes,Yes,No,Yes,No,Yes,,No
XPath / XQuery,"Databases, data processing, scripting",No,No,Yes,No,No,No,Tree-oriented,"Yes 1999 W3C XPath 1, 2010 W3C XQuery 1, 2014 W3C XPath/XQuery 3.0"
Zeek,"Domain-specific, application",Yes,No,No,No,No,No,,No
Zig,"Application, general, system",Yes,No,Yes,Yes,Yes,Yes,Concurrent,No
Zsh,"Shell , scripting",Yes,No,No,Yes,No,No,Loadable modules,Optionally POSIX.2 &#91; 13 &#93;
"
"
Language,Statements ratio &#91; 56 &#93;,Lines ratio &#91; 57 &#93;
C,1,1
C++,2.5,1
Fortran,2,0.8
Java,2.5,1.5
Perl,6,6
Smalltalk,6,6.25
Python,6,6.5
"
"
"To display all pages, subcategories and images click on the ""►"":"
Lists of programming languages (19 P) List of programming languages List of programming languages by type Lists of programming languages List of programming languages for artificial intelligence List of audio programming languages List of BASIC dialects List of C-family programming languages List of CLI languages List of concurrent and parallel programming languages List of educational programming languages Generational list of programming languages List of JVM languages List of Lisp-family programming languages List of open-source programming languages Non-English-based programming languages List of object-oriented programming languages List of reflective programming languages and platforms Timeline of programming languages Unisys MCP programming languages
"
"
v t e Programming languages
Comparison Timeline History
Ada ALGOL Simula APL Assembly BASIC Visual Basic classic .NET C C++ C# COBOL Erlang Elixir Forth Fortran Go Haskell Java JavaScript Julia Kotlin Lisp Lua MATLAB ML Caml OCaml Pascal Object Pascal Perl Raku PHP Prolog Python R Ruby Rust SAS SQL Scratch Shell Smalltalk Swift more...
Lists: Alphabetical Categorical Generational Non-English-based Category
"
"
