Table_Number,Oct 2025,Oct 2024,Change,Programming Language,Programming Language.1,Ratings,Change.1,Position,2025,2020,2015,2010,2005,2000,1995,1990,1985,Year,Winner
3,,,,(Visual) Basic,,,,,-,-,-,5,6,4,3,3,4,,
4,,,,,,,,,,,,,,,,,,2024.0,Python
4,,,,,,,,,,,,,,,,,,2023.0,C#
4,,,,,,,,,,,,,,,,,,2022.0,C++
4,,,,,,,,,,,,,,,,,,2021.0,Python
4,,,,,,,,,,,,,,,,,,2020.0,Python
4,,,,,,,,,,,,,,,,,,2019.0,C
4,,,,,,,,,,,,,,,,,,2018.0,Python
4,,,,,,,,,,,,,,,,,,2017.0,C
4,,,,,,,,,,,,,,,,,,2016.0,Go
4,,,,,,,,,,,,,,,,,,2015.0,Java
4,,,,,,,,,,,,,,,,,,2014.0,JavaScript
4,,,,,,,,,,,,,,,,,,2013.0,Transact-SQL
4,,,,,,,,,,,,,,,,,,2012.0,Objective-C
4,,,,,,,,,,,,,,,,,,2011.0,Objective-C
4,,,,,,,,,,,,,,,,,,2010.0,Python
4,,,,,,,,,,,,,,,,,,2009.0,Go
4,,,,,,,,,,,,,,,,,,2008.0,C
4,,,,,,,,,,,,,,,,,,2007.0,Python
4,,,,,,,,,,,,,,,,,,2006.0,Ruby
4,,,,,,,,,,,,,,,,,,2005.0,Java
4,,,,,,,,,,,,,,,,,,2004.0,PHP
4,,,,,,,,,,,,,,,,,,2003.0,C++
