Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
Guinea-Bissau,2105529,2153339,+2.27%,Africa,Western Africa
Slovenia,2115228,2118396,+0.15%,Europe,Southern Europe
Latvia,1881063,1882396,+0.07%,Europe,Northern Europe
Equatorial Guinea,1803545,1847549,+2.44%,Africa,Middle Africa
North Macedonia,1840233,1831802,−0.46%,Europe,Southern Europe
Kosovo[r],1717946,1700031,−1.04%,Europe,Southern Europe
Bahrain,1533459,1569666,+2.36%,Asia,Western Asia
Trinidad and Tobago,1495921,1502932,+0.47%,Americas,Caribbean
Timor-Leste,1369295,1384286,+1.09%,Asia,South-eastern Asia
Estonia,1350091,1367196,+1.27%,Europe,Northern Europe
Cyprus[s],1331370,1344976,+1.02%,Asia,Western Asia
Mauritius,1276130,1273588,−0.20%,Africa,Eastern Africa
Eswatini,1218917,1230506,+0.95%,Africa,Southern Africa
Djibouti,1137096,1152944,+1.39%,Africa,Eastern Africa
Fiji,919422,924145,+0.51%,Oceania,Melanesia
Réunion (France),871540,874883,+0.38%,Africa,Eastern Africa
Comoros,834188,850387,+1.94%,Africa,Eastern Africa
Guyana,821637,826353,+0.57%,Americas,South America
Solomon Islands,781066,800005,+2.42%,Oceania,Melanesia
Bhutan,780914,786385,+0.70%,Asia,Southern Asia
Macao (China)[t],704356,713912,+1.36%,Asia,Eastern Asia
Luxembourg,653313,665098,+1.80%,Europe,Western Europe
Montenegro,614648,633552,+3.08%,Europe,Southern Europe
Suriname,623164,628886,+0.92%,Americas,South America
Western Sahara (disputed),568739,579729,+1.93%,Africa,Northern Africa
Malta,528192,532956,+0.90%,Europe,Southern Europe
Maldives,524106,525994,+0.36%,Asia,Southern Asia
Cape Verde,519741,522331,+0.50%,Africa,Western Africa
Brunei,455370,458949,+0.79%,Asia,South-eastern Asia
Belize,402733,411106,+2.08%,Americas,Central America
Bahamas,397538,399440,+0.48%,Americas,Caribbean
Iceland,380356,387558,+1.89%,Europe,Northern Europe
Guadeloupe (France),384697,376517,−2.13%,Americas,Caribbean
Martinique (France),349459,346002,−0.99%,Americas,Caribbean
Vanuatu,313046,320409,+2.35%,Oceania,Melanesia
Mayotte (France),305269,316015,+3.52%,Africa,Eastern Africa
French Guiana (France),298306,303402,+1.71%,Americas,South America
New Caledonia (France),287123,289870,+0.96%,Oceania,Melanesia
Barbados,288318,282336,−2.07%,Americas,Caribbean
French Polynesia (France),280378,281118,+0.26%,Oceania,Polynesia
São Tomé and Príncipe,226305,230871,+2.02%,Africa,Middle Africa
Samoa,215261,216663,+0.65%,Oceania,Polynesia
Curaçao (Netherlands),185345,185427,+0.04%,Americas,Caribbean
Saint Lucia,178781,179285,+0.28%,Americas,Caribbean
Guam (United States),165180,166506,+0.80%,Oceania,Micronesia
Kiribati,130469,132530,+1.58%,Oceania,Micronesia
Seychelles,125522,127951,+1.94%,Africa,Eastern Africa
Grenada,116913,117081,+0.14%,Americas,Caribbean
Micronesia,112114,112630,+0.46%,Oceania,Micronesia
Tonga,105042,104597,−0.42%,Oceania,Polynesia
Aruba (Netherlands),107782,107939,+0.15%,Americas,Caribbean
Jersey (United Kingdom),103490,103674,+0.18%,Europe,Northern Europe
Saint Vincent and the Grenadines,102046,101323,−0.71%,Americas,Caribbean
Antigua and Barbuda,92840,93316,+0.51%,Americas,Caribbean
U.S. Virgin Islands (United States),86507,85701,−0.93%,Americas,Caribbean
Isle of Man (United Kingdom),84132,84165,+0.04%,Europe,Northern Europe
Andorra,79705,80856,+1.44%,Europe,Southern Europe
Cayman Islands (United Kingdom),71591,73038,+2.02%,Americas,Caribbean
Dominica,66826,66510,−0.47%,Americas,Caribbean
Bermuda (United Kingdom),64749,64698,−0.08%,Americas,Northern America
Guernsey (United Kingdom),63725,64017,+0.46%,Europe,Northern Europe
Greenland (Denmark),54990,55922,+1.69%,Americas,Northern America
Faroe Islands (Denmark),54011,54714,+1.30%,Europe,Northern Europe
American Samoa (United States),48342,47521,−1.70%,Oceania,Polynesia
Saint Kitts and Nevis,46709,46758,+0.10%,Americas,Caribbean
Turks and Caicos Islands (United Kingdom),45847,46198,+0.77%,Americas,Caribbean
Northern Mariana Islands (United States),46078,45143,−2.03%,Oceania,Micronesia
Sint Maarten (Netherlands),42139,42749,+1.45%,Americas,Caribbean
Liechtenstein,39317,39598,+0.71%,Europe,Western Europe
British Virgin Islands (United Kingdom),38319,38985,+1.74%,Americas,Caribbean
Monaco,38931,38956,+0.06%,Europe,Western Europe
Gibraltar (United Kingdom),37609,38471,+2.29%,Europe,Southern Europe
Marshall Islands,40077,38827,−3.12%,Oceania,Micronesia
San Marino,34090,33733,−1.05%,Europe,Southern Europe
Caribbean Netherlands (Netherlands)[u],28627,29898,+4.44%,Americas,Caribbean
Saint Martin (France),28870,27515,−4.69%,Americas,Caribbean
Palau,17759,17727,−0.18%,Oceania,Micronesia
Anguilla (United Kingdom),14180,14410,+1.62%,Americas,Caribbean
Cook Islands (New Zealand),14723,14222,−3.40%,Oceania,Polynesia
Nauru,11801,11875,+0.63%,Oceania,Micronesia
Wallis and Futuna (France),11478,11370,−0.94%,Oceania,Polynesia
Saint Barthélemy (France),10920,11085,+1.51%,Americas,Caribbean
Tuvalu,9992,9816,−1.76%,Oceania,Polynesia
Saint Pierre and Miquelon (France),5732,5681,−0.89%,Americas,Northern America
Saint Helena (United Kingdom)[v],5343,5289,−1.01%,Africa,Western Africa
Montserrat (United Kingdom),4453,4420,−0.74%,Americas,Caribbean
Falkland Islands (United Kingdom),3490,3477,−0.37%,Americas,South America
Tokelau (New Zealand),2290,2397,+4.67%,Oceania,Polynesia
Niue (New Zealand),1821,1817,−0.22%,Oceania,Polynesia
Vatican City[w],505,496,−1.78%,Europe,Southern Europe
