"","General, application, business, client-side, server-side, web (EWF)","Yes","Yes","Yes","No","Yes","Yes","Distributed ,","Yes"
"","Education","Yes","No","No","Yes","No","No",",","No"
"","Application,","No","No","Yes","No","No","Yes","Concurrent, distributed","No"
"","Application, distributed","No","No","Yes","No","No","Yes","Concurrent, distributed","No"
"","Application","No","No","No","Yes","No","Yes","","No"
"","General","Yes","No","Can be viewed as","No","Yes","Yes","","No"
"","","No","No","Yes","No","No","No","","No"
"","Application","Yes","Yes","Yes","Yes","Yes","Yes","","No"
"","General","Yes","No","No","Yes","No","Yes","Stack-oriented","Yes"
"","Application, numerical computing","Yes","Yes","Yes","Yes","Yes","No","Array-based, vectorized, concurrent, native distributed/shared-memory parallelism","Yes"
"","Application, numerical computing","Yes","Yes","No","Yes","Yes","No","","No"
"","Application","Yes","Yes","No","No","No","No","","No"
"","Application, game programming","Yes","Yes","No","No","No","No","","No"
"","Application, games","Yes","Yes","No","Yes","No","No","Simple object-oriented","No"
"","Application, web, server-side","Yes","Can be viewed as","Can be viewed as","Yes","Yes","Yes","Concurrent","De facto"
"","Application, general, scripting, web","Yes","Yes","No","No","Yes","Yes","","No"
"","Application","No","Yes","No","No","No","No","Logic","No"
"","Application, general, scripting, web","Yes","Yes","Yes","Yes","Yes","Yes","Meta-programming","No"
"","Application, business, data processing, general, web","Yes","Yes","Yes","Yes","Yes","Yes","","No"
"","Application","No","No","Yes","No","Yes","No","Lazy evaluation","Yes"
"","Application, general, web","Yes","Yes","Yes","No","Yes","Yes","","No"
"","Application, RAD, general","Yes","No","No","Yes","No","Yes","Weakly typed","Unknown"
"","Application, host-driven scripting","Yes","Yes","No","No","No","No","","No"
"","General","No","No","Yes","No","No","No","","Unknown"
"","General","Yes","Yes","Yes","No","Yes","No","","Yes"
"","Application,","Yes","Yes","Yes","Yes","Yes","Yes","Array-oriented, , tacit, concurrent","No"
"","Application, distributed","Yes","Yes","No","No","No","No","","No"
"","Application, business, client-side, general, mobile development, server-side, web","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent","De facto"
"","Client-side, server-side, web","Yes","Yes","Yes","Yes","No","Yes","","Yes"
"","Research","No","No","Yes","No","No","No","Stack-oriented","No"
"","""awk for JSON""","No","No","Yes","No","No","No",", , ,","No"
"","General, technical computing","Yes","Can be viewed as","Yes","Yes","Yes","Yes","Multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")","De facto"
"","Data processing, business","No","No","No","No","No","No","Array-oriented, tacit","Unknown"
"","Application, general, mobile development, server-side, client-side, web, scripting, domain-specific","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent","De facto"
"",",","Yes","Yes","No","Yes","No","No","Several variants, custom programmable, dynamic loadable modules","Optionally"
"(G)","Application, industrial instrumentation-automation","Yes","Yes","Yes","No","No","No",",","No"
"","General","No","No","Yes","No","No","No","","Unknown"
"","Application, RAD, general","Yes","Yes","No","Yes","No","Yes","Weakly typed","No"
"","Artificial intelligence, application","No","Yes","No","No","No","Yes","Logic","No"
"(LSL)","Virtual worlds content scripting and animation","Yes","No","No","Yes","No","No","Scripts exist in in-world objects","De facto"
"","Application, embedded scripting","Yes","Yes","Yes","Yes","No","Yes","Aspect-oriented, prototype-based","No"
"","Symbolic computation, numerical computing","Yes","Yes","Yes","Yes","No","No","Distributed","No"
"","","Yes","Yes","Yes","Yes","Yes","Yes","Logic, distributed","No"
"","Highly domain-specific, numerical computing","Yes","Yes","No","Yes","No","No","","No"
"","Application, system","Yes","No","No","No","Yes","No","","Yes"
"","Application","Yes","Yes","No","No","Yes","No","","No"
"(M)","General, application, databases","Yes","Approved for next Standard","No","Yes","Partially Thru Indirection and Xecute","Yes",", , ,","Yes"
"","Application, general, web, scripting, system","Yes","Yes","Yes","Yes","Yes","Yes","Multiple dispatch, concurrent,","No"
"","Application, system","Yes","Yes","No","No","No","No","","No"
"","Application, general, mobile app, web","Yes","Yes","No","Yes","Yes","Yes","Structured","No"
"","Application, general","Yes","Yes","No","Yes","No","Yes","Concurrent","No"
"","Application, general","Yes","Yes","Yes","Yes","Yes","No","","No"
"","General","Yes","No","No","Yes","No","No","Concurrent,","No"
"","Web applications","Yes","No","Yes","No","Yes","No","Distributed","No"
"","General, Embedded Lisp Engine","Yes","Yes","Yes","No","Yes","No","","Optionally"
"","Application","Yes","Yes","No","No","Yes","No","","No"
"","Application, distribution, education","Yes","Yes","Yes","No","No","No","Concurrent, logic","No"
"","Application, education","Yes","No","No","Yes","No","No","","Yes"
"","Application, scripting, text processing, Web","Yes","Yes","Yes","Yes","Yes","Yes","","No"
"","Server-side, web application, web","Yes","Yes","Yes","Yes","No","Yes","","De facto"
"","Application","Yes","Yes","No","Yes","No","No","","Yes"
"","Application, system development","Yes","No","No","Yes","No","No","","No"
"","Graphics, page description","Yes","No","No","Yes","No","No",",","De facto"
"","Administration, application, general, scripting","Yes","Yes","Yes","Yes","No","Yes","","No"
"","Application, artificial intelligence","No","No","Yes","Yes","No","Yes","Logic, declarative","Yes"
"","Application","Yes","No","No","Yes","No","No","","No"
"","Application, general, web, scripting, artificial intelligence, scientific computing","Yes","Yes","Yes","Yes","Yes","Yes","Aspect-oriented","De facto"
"","Application, statistics","Yes","Yes","Yes","Yes","No","Yes","","No"
"","Education, general, scripting","Yes","Yes","Yes","Yes","No","Yes",", logic, meta","No"
"","Scripting, text processing, glue","Yes","Yes","Yes","Yes","Yes","Yes","Aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming","No"
"","Application","No","No","No","Yes","No","No","","Unknown"
"","Distributed","Yes","Yes","Yes","Yes","No","Yes","","No"
"","Scripting","Yes","Yes ( and  dialects)","No","Yes","No","No","","Yes"
"","Application, system","Yes","No","No","Yes","No","No","","No"
"","Application","Yes","Yes","Yes","Yes","Yes","Yes","metaprogramming, declarative,","No"
"","Application, scripting, web","Yes","Yes","Yes","No","No","Yes","Aspect-oriented","Yes"
"","Application, server-side, system, web","Yes","Can be viewed as","Yes","Yes","Yes","No","Concurrent","De facto standard by the official Rust releases"
"","Application, statistics","Yes","Yes","Yes","Yes","No","No","","No"
"","Application, numerical, scripting","Yes","No","No","Yes","No","No","","No"
"","Application, general, parallel, distributed, web","Yes","Yes","Yes","No","Yes","Yes","Data-oriented programming, metaprogramming","De facto"
"","Education, general","Yes","No","Yes","No","No","No","meta, extensible-syntax","De facto"
"","Application, general, scripting, web","Yes","Yes","No","No","Yes","Yes","Multi-paradigm, extensible, structured","No"
"","Education, general","Yes","Yes","No","No","No","No",",  (quasi-parallel) program execution","Yes"
"","Application, education, games","Yes","No","No","No","No","No","","No"
"","Application, general, business, artificial intelligence, education, web","Yes","Yes","Yes","Yes","No","Yes","Concurrent, declarative","Yes"
"","Text processing","No","No","No","No","No","No","","Unknown"
"","Application","Yes","No","Yes","No","Yes","No","","Yes"
"","Application, general","Yes","Yes","Yes","Yes","Yes","Yes","Concurrent, declarative,","No"
"","Application, scripting, web","Yes","Yes","Yes","Yes","No","Yes","","No"
"","Application, general, system, game, web, server-side","Yes","Can be viewed as","Can be viewed as","Yes","Yes","Yes","Concurrent","No"
"","Application, RAD, education, business, general, (Includes VBA), office automation","Yes","Yes","No","Yes","Yes","No","Component-oriented","No"
"","Application, RAD, education, web, business, general","Yes","Yes","Yes","Yes","Yes","Yes","Structured, concurrent","No"
"","Application","Yes","Yes","No","Yes","No","No","Data-centric, logic","No"
"","Application","Yes","Yes","Yes","No","No","No","Declarative, logic","No"
"","Symbolic language","Yes","No","Yes","Yes","Yes","Yes","Logic, distributed","No"
"","","Yes","Yes","No","No","No","No","","No"
"","Application, RAD, general, web","Yes","Yes","No","Yes","No","Yes","","No"
"/","Databases, data processing, scripting","No","No","Yes","No","No","No","","Yes"
"","Domain-specific, application","Yes","No","No","No","No","No","","No"
"","Application, general, system","Yes","No","Yes","Yes","Yes","Yes","Concurrent","No"
"",",","Yes","No","No","Yes","No","No","Loadable modules","Optionally"
